ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID,
yomm1242-1-1-1,,yomm1242-1,1,nyə̌ŋ-,nyə̌ŋ-,[],,['chan2019'],,False,False,,1,
yomm1242-1-1-2,,yomm1242-1,1,nyə̌rɣə-,nyə̌rɣə-,[],,['chan2019'],,False,False,,1,
yomm1242-1-2-1,,yomm1242-1,2,-li,-li,[],,['chan2019'],,False,False,,1,
yomm1242-1-3-1,,yomm1242-1,3,-ta,-ta,[],,['chan2019'],,False,False,,1,
yomm1242-1-4-1,,yomm1242-1,4,-nɛ̀ɛ̀sə̀,-nɛ̀ɛ̀sə̀,[],,['chan2019'],,False,False,,1,
yomm1242-1-5-1,,yomm1242-1,5,-nù,-nù,[],,['chan2019'],,False,False,,1,
yomm1242-1-6-1,,yomm1242-1,6,-lèèwə̀r,-lèèwə̀r,[],,['chan2019'],,False,False,,1,
yomm1242-1-7-1,,yomm1242-1,7,-nùɣa -li,-nùɣa -li,[],"('five and two', ɣa > 'and' )",['chan2019'],,False,False,,1
yomm1242-1-8-1,,yomm1242-1,8,-li k͡pa fɛɣa,-li k͡pa fɛɣa,[],( ' two are not in ten ' ),['chan2019'],,False,False,,1,
yomm1242-1-9-1,,yomm1242-1,9,nyə̌ŋ-,nyə̌ŋ-,[],,['chan2019'],,False,False,,1,
yomm1242-1-9-2,,yomm1242-1,9,nyə̌rɣə- k͡pa fɛɣa,nyə̌rɣə- k͡pa fɛɣa,[],,['chan2019'],,False,False,,1,
yomm1242-1-10-1,,yomm1242-1,10,fɛɣa,fɛɣa,[],,['chan2019'],,False,False,,1,
yomm1242-1-11-1,,yomm1242-1,11,fɛɣan,fɛɣan,[],,['chan2019'],,False,False,,1,
yomm1242-1-11-2,,yomm1242-1,11,fɛɣa ən nyə̌ŋ-,fɛɣa ən nyə̌ŋ-,[],,['chan2019'],,False,False,,1,
yomm1242-1-11-3,,yomm1242-1,11,nyə̌rɣə,nyə̌rɣə,[],,['chan2019'],,False,False,,1,
yomm1242-1-12-1,,yomm1242-1,12,fɛɣa ən -li,fɛɣa ən -li,[],,['chan2019'],,False,False,,1,
yomm1242-1-13-1,,yomm1242-1,13,fɛɣa ən -ta,fɛɣa ən -ta,[],,['chan2019'],,False,False,,1,
yomm1242-1-14-1,,yomm1242-1,14,fɛɣa ən -nɛ̀ɛ̀sə̀,fɛɣa ən -nɛ̀ɛ̀sə̀,[],,['chan2019'],,False,False,,1,
yomm1242-1-15-1,,yomm1242-1,15,fɛɣa ən -nù,fɛɣa ən -nù,[],,['chan2019'],,False,False,,1,
