"","ID","Name","Glottocode","Glottolog_Name","ISO639P3code","Macroarea","Latitude","Longitude","Family","SourceFile","Contributor","Base.Chan","Base.Mamta","Comment.Chan","Comment.Mamta"
"1","aher1237-1","Aheri Gondi, Maharashtra, India","aher1237","Aheri Gondi",NA,"Eurasia",19.4131,80.0043,"Dravidian","Gondi-Aheri.htm","Mr. Benny Kurian, Aheri Gondi Bible translator, India. September 7, 2018.","decimal","","Aheri Gondi Gondi has a decimal numeral system and still remains more Dravidian numerals.",""
"2","aluk1238-1","Alu Kurumba, India","aluk1238","Alu Kurumba","xua","Eurasia",11.3456,76.7995,"Dravidian","Kurumba-Alu.htm","Prof. Dieter B. Kapp, University of Cologne, Germany, July 13, 1995.",NA,"","Alu Kurumba numeral system is similar to Kannada numeral system.",""
"3","aran1261-1","Aranadan, Kerala, India","aran1261","Aranadan","aaf","Eurasia",11.35252,75.79538,"Dravidian","Aranadan.htm","Dr. Rose Mary A, Principal investigator, Mr. Swaraj Prabha and Mr. Sam Robert-junior resource fellows), SPPEL Aranadan Language, Associate professor, Department of Linguistics, University of Kerala, Karyavattom Campus, Thiruvananthapuram, India, March 1st, 2017.","decimal","","Aranadan has a decimal system. Aranadan is an endangered Dravidian language spoken by several hundred people, predominantly in the Malappuram District of Kerala state, India. It is similar to Malayalam and Tamil, and also contains elements of the Kannada language. It is also known as Aranatanand Eranadans. The Aranadan numeral system is similar to that of Malayalam and Tamil.",""
"4","bada1257-1","Badaga, India","bada1257","Badaga","bfq","Eurasia",11.3094,76.5974,"Dravidian","Badaga.htm","Balakrishnan, R, 1999. Bagada, A Dravidian Language. Annamalai University, India",NA,"","Bagada numeral system is similar to Kannada numeral system.",""
"5","bett1235-1","Betta Kurumba, India","bett1235","Betta Kurumba","xub","Eurasia",11.6385,76.6064,"Dravidian","Kurumba-Betta.htm","Mr. Daniel Selvaraj, Translations Advisor, Bible Society of India, India, August 22, 1996.","decimal","","Betta Kurumba has a decimal system. The phonetic symbolsː ʋ and j are semivowels. ʋ = IPA [w]. Betta Kurumba Phonemic Chart: Consonants: bilabial Dental/Alveolar Retroflex Palatal Velar Stops p, b t̪, d̪ ʈ, ɖ k, g Affricates tʃ, dʒ Nasals m n ɳ ŋ Laterals l ɭ Trils r Flaps ɾ Semivowels ʋ (w) j The phonetic symbolsː ʋ and j are semivowels. ʋ = IPA [w]. Vowelsː Front Central Back High i, iː u, uː Mid e, eː ə, əː o, oː Low a, aː",""
"6","bett1235-2","Betta Kurumba, India","bett1235","Betta Kurumba","xub","Eurasia",11.6385,76.6064,"Dravidian","Kurumba-Betta.htm","Dr. Gail Coelho, Assoc. Professor, Department of Linguistics, University of Delhi, Delhi, India. December 9, 2010. July 13, 2011.","decimal","","Betta Kurumba has a decimal system. The phonetic symbolsː ʋ and y are semivowels. ʋ = IPA [w]. y=IPA [j]",""
"7","brah1256-1","Brahui, Pakistan","brah1256","Brahui","brh","Eurasia",29.04,66.56,"Dravidian","Brahui.htm","Dr. M. S. Andronov, Institute of Linguistics, Russian Academy of Sciences, Moscow, Russia, November 23, 1995. Mr. Serge Axenov, University of St. Petersburg, Russia / University of Uppsala, Sweden, November 29, 1998.",NA,"","Brahui only remains traditional numerals 1 to 3, from 4 up, they use Iranian numerals. Occasionally numbers above forty have optional variants based on scores.",""
"8","dand1238-1","Bison-Horn Madiya, India","dand1238","Dandami Maria","daq","Eurasia",18.7475,81.3598,"Dravidian","Maria-Dandami.htm","Mr & Mrs. Joseph & Omania Sounderaraj, Translations Advisor, Bible Society of India, Bangalore, India, August 15, 1995",NA,"","Bison-Horn Madiya only retained Dravidian numerals one to five, they adopt Indo-Aryan numeral system mixed with native terms for numbers after twenty.",""
"9","duru1236-1","Duruwa (Parji), India","duru1236","Duruwa","pci","Eurasia",19.0534,82.4881,"Dravidian","Parji.htm","Mr. Michael Jeyabalan, Translations Advisor, Bible Society of India, Bangalore, India, August 20, 1995",NA,"","Duruwa language only remains Dravidian numerals one to five, they adopt Indo-Aryan numeral system mixed with native terms for numbers after twenty.",""
"10","east2340-1","Eastern Muria, Chhattisgarh, India","east2340","Eastern Muria","emu","Eurasia",20.1422,80.8893,"Dravidian","Muria-Eastern.htm","Mrs. Irene van Riezen, SIL International, December 20, 2013.",NA,"","Eastern Muria only retained Dravidian numerals one to five, they adopt Hindi numeral system mixed with native terms for numbers after six.",""
"11","erav1242-1","Eravallan, Kerala State, India","erav1242","Eravallan","era","Eurasia",10.8003,76.8389,"Dravidian","Eravallan.htm","Dr. N. Vijayan, Assistant Professor, Bharathiar University, Coimbatore, Tamil Nadu, India, August 24, 2018.",NA,"","Eravallan or Eravalla has a numeral system similar to that of Irula and Tamil. Eravallan is spoken in Pollachi and Udumalpet taluks of Coimbatore District, Tamil Nadu and Chitoor taluk of Palakkad District, Kerala, India.",""
"12","erav1242-2","Eravallan, Kerala State, India","erav1242","Eravallan","era","Eurasia",10.8003,76.8389,"Dravidian","Eravallan.htm","Dr. V. Gnanasundaram, CIIL (Central Institute of Indian languages), Mysore, India, October 11, 2014.",NA,"","Eravallan or Eravalla has a numeral system similar to that of Irula and Tamil.",""
"13","farw1235-1","Far Western Muria, India","farw1235","Far Western Muria","fmu","Eurasia",20.1754,80.4712,"Dravidian","Muria-Far-Western.htm","Mr. Thomas Mathew, Gaita Koito Bible translator, India. January 28, 2019.",NA,"","Far Western Muria or Gaita Koitor only retained Dravidian numerals one to six they adopt Indo-Aryan numeral system after six. Below is the Gaita Koitor numeral system from 1 to 100. Devnagri Phonetics IPA Devnagri Phonetics IPA 1 उन्दि und̪i 26 सोवीस soviːs 2 रन्डु ɾaɳɖu 27 सतावीस sʌtaviːs 3 मुन्डु muɳɖu 28 अटावीस ʌʈaviːs 4 नालूगं naluŋ 29 एकुनतीस ekun̪t̪iːs 5 सेयूगं sejuŋ 30 तीस t̪iːs 6 सारूगं saruŋ 31 एकतीस ekt̪i:s 7 सात sat̪ 32 बतीस bʌt̪iːs 8 आट aʈ 33 तेतीस t̪et̪iːs 9 नैव nɔv 34 चैतीस tʃ͡out̪iːs 10 दाहा d̪ʌha 35 पसतीस pʌst̪iːs 11 अकरा ʌkɾa 36 चेतीस tʃ͡et̪iːs 12 बारा baɾa 37 सदतीस sʌd̪ʌt̪iːs 13 तेरा t̪eɾa 38 अळतीस ʌɖʌt̪iːs 14 चैदा tʃ͡aud̪a 39 एकुनचाळिस ekuɲtʃ͡aɖliːs 15 पंन्दरा pan̪d̪ɾa 40 चाळिस tʃ͡aɖiːs 16 सोळा soɽa 41 एकचाळिस ektʃ͡aɖiːs 17 सतरा sʌt̪ɾa 42 बेचाळिस betʃ͡aɖiːs 18 अटरा ʌʈʰɾa 43 त्रेचाळिस t̪retʃ͡aɖiːs 19 एकुनवीस ekunviːs 44 चैचाळिस tʃ͡ouretʃ͡aɖiːs 20 वीस viːs 45 पंचेचाळिस pʌɲtʃetʃaɖiːs 21 एकवीस ekviːs 46 छिचाळिस tʃ͡ʰetʃ͡aɖiːs 22 बावीस baviːs 47 सतेचाळिस sʌt̪etʃ͡aɖiːs 23 तेवीस t̪eviːs 48 अटेचाळिस ʌʈetʃ͡aɖiːs 24 चैवीस tʃ͡ouviːs 49 एकुनपनास ekunpʌnas 25 पंचवीस pʌntʃ͡ʌviːs 50 पनास pʌnas Devnagri Phonetics Devnagari Phonetics 51 एकावन ekavʌn 76 छाहातर tʃ͡ahat̪ʌɾ 52 बावन bavʌn 77 सतचतर sʌt̪iat̪ʌɾ 53 तेरुपन t̪irupʌn 78 अटचातर ʌʈiat̪ʌɾ 54 चैपन tʃ͡oupʌn 79 एकुनआनसी ekunansi 55 पंचावन pʌɲtʃ͡avʌn 80 अनसी ʌnsi 56 चेपन tʃ͡epʌn 81 एकयानसि ekiansi 57 सतावन sʌt̪avʌn 82 बायानयी bijansi 58 अढावन ʌɖʰavʌn 83 त्रियानसी t̪irijansi 59 एकुनसाट ekunsʌʈ 84 चैरायनसी tʃ͡ouransi 60 साट saʈ 85 पंचाययानसी pʌɲtʃ͡ansi 61 एकसाट eksaʈ 86 छाहानसि tʃ͡ahansi 62 बेसाट basaʈ 87 सतानसी sʌt̪iansi 63 त्रिसाट t̪risaʈ 88 अटयानसी ʌʈiansi 64 चैसाट tʃ͡ousaʈ 89 एकननवद ekunʌvʌd̪ 65 पासाट pasaʈ 90 नोवद nɔvʌd̪ 66 साहासाट sahasaʈ 91 एकयानैव ekianɔv 67 सतसाट sʌt̪usaʈ 92 बानैव bianɔv 68 अळसाट ʌɖusaʈ 93 त्रियानौव t̪irianɔv 69 एकुनसतर ekunsʌt̪ʌɾ 94 चैरानैव tʃ͡ouranɔv 70 सतर sʌt̪ʌɾ 95 पंचानैव pʌɲʧ͡ainɔv 71 एकसतर eksʌt̪ʌɾ 96 छाहानैव tʃ͡ainɔv 72 बाहतर bahʌt̪ʌɾ 97 सतयानैन sʌt̪ianɔv 73 त्रिचतर t̪iriat̪ʌɾ 98 अटयानैव ʌʈianɔv 74 चैरतर tʃ͡ourʌt̪ʌɾ 99 नवानैव nianɔv 75 पचंचतर pʌɲtʃ͡at̪aɾ 100 नुर nuɾ (Dravidian)",""
"14","holi1239-1","Holiya, Madhya Pradesh, India","holi1239","Holiya","hoy","Eurasia",21.5259,79.9164,"Dravidian","Holiya.htm","Dr. K. M. Metry, PI, SPPEL Holiya Language, Professor, Department of Tribal Studies, Kannada University, Hampi, India, February 26, 2017.","decimal AND vigesimal","","Holiya (Golari) is an endangered southern Dravidian language closely related to Kannada. It was spoken by about 3,614 persons in Balaghat, Seoni districts of Madhya Pradesh and Gondia, Bhandara, Chandrapur districts of Maharashtra. It is very similar to the form of Kannada spoken in Bijapur (Vijayapura). Holiya has a mixed numeral system with ancient vegisimal system and decimal system.",""
"15","irul1243-1","Irula, India","irul1243","Irula of the Nilgiri","iru","Eurasia",12.70645,79.95209,"Dravidian","Irula.htm","Dr. Sylvia Ernest, Translations Advisor, Bible Society of India, Coimbatore, India, December 2, 1995.",NA,"","Irula has a numeral system similar to that of Tamil.",""
"16","jenn1240-1","Jennu Kurumba, Karnataka, India","jenn1240","Jennu Kurumba","xuj","Eurasia",11.5041,76.5767,"Dravidian","Jenu-Kurumba.htm","Mr. Melwin Jeba, Jennu Kurumba Bible translator, Bible Society of India, India, September 8, 2018","decimal","","Jennu Kurumba or Jenu Kuruba has a decimal system similar to that of Alu Kurumba.",""
"17","jenn1240-2","Jennu Kurumba, Karnataka, India","jenn1240","Jennu Kurumba","xuj","Eurasia",11.5041,76.5767,"Dravidian","Jenu-Kurumba.htm","Dr. Basavaraja Kodagunti, Asst. Professor, Department of Kannada, Coordinator, Linguistics Programs, Central University of Karnataka Gulbarga- 585106, Karnataka, India. July 24, 2015.","decimal","","Jennu Kurumba or Jenu Kuruba has a decimal system similar to that of Alu Kurumba.",""
"18","khir1237-1","Khirwar, Jhanrkhand, India","khir1237","Khirwar","kwx","Eurasia",23.7062,82.9615,"Dravidian","Khirwar-Palamu.htm","Mr. Suraj Mini, Khirwar Bible translator, India. September 10, 2018.",NA,"","Khirwar or Palamu is spoken Garhwah and Latehar in Jhanrkhand State of Eastern India. Khirwar people has completely borrowed numerals from neighboring Indo-Aryan language now.",""
"19","kisa1261-1","Kisan, Odisha, India","kisa1261","Kisan (Dravidian)","xis","Eurasia",NA,NA,"Dravidian","Kisan_Odisha.htm","Dr. Anup Kumar Kujur, Assistant Professor, Department of Linguistics, Berhampur University, Bhanja Bihar, Ganjam, Odisha, August 12, 2018.",NA,"","The numbers from 1 to 4 in Kisan are Dravidian origin and the rest are borrowed from Indo-Aryan languages. Secondly, the suffix /ʈa / is a classifier which is taken from Odia language.",""
"20","kisa1261-2","Kisan, Odisha, India","kisa1261","Kisan (Dravidian)","xis","Eurasia",NA,NA,"Dravidian","Kisan_Odisha.htm","Dr. P. Perumalsamy, Professor cum Deputy Director, Central Institute of Indian Languages, Mysore, India, August 10, 2018.",NA,"","Kison only retained traditional Dravidian numerals from 1 to 4. Beyond four, they used loanwords from Indo-Aryan language. Note that the traditional symbol 'c' = IPA [ts], 'ch' = IPA [tʃ], 'j' = IPA [dʒ]. Reference: Perumalsamy, P, 2002, Kisan in Linguistic Survey of India: Special Studies, Orissa. New Delhi: Office of the Registrar General, India",""
"21","koda1255-1","Kodagu, India","koda1255","Kodava","kfa","Eurasia",12.2443,75.9161,"Dravidian","Kodagu.htm","Mr. Naveen, India. September 24, 2008","decimal","","Kodagu has a decimal numeral system.",""
