"","ID","Name","Glottocode","Glottolog_Name","ISO639P3code","Macroarea","Latitude","Longitude","Family","SourceFile","Contributor","Base.Chan","Base.Mamta","Comment.Chan","Comment.Mamta"
"1","acha1249-1","Lianghe Achang, China","acha1249","Longchuan Achang","acn","Eurasia",24.3479,97.7438,"Sino-Tibetan","Achang-Lianghe.htm","Prof. Dai Qingxia, Central University for Nationalities, Beijing, China, July 10, 1998.","decimal","","The Linaghe dialect of Achang language has a decimal system with special construction for numerals 6, 7, 8 and 9.",""
"2","aimo1244-1","Aimol, India","aimo1244","Aimol","aim","Eurasia",24.6437,94.3556,"Sino-Tibetan","Aimol.htm","Dr. Chongom Damrengthang Aimol, Department of Linguistics, Manipur University, Imphal through Mr. Losii Heshu. NELD project, Central Institute of Indian Languages, Manasagangori, Mysore. India. September 9, 2009.","decimal","","Aimol numeral system is similar to that of Chiru and other Chin languages. The numerals from eleven to nineteen are formed by a connective /-ləj-/ which is added to sòm “ten” to the basic numerals from one to nine. Here /ən/ of ənni, əntʰum and are deleted. The numerals from twenty-one to twenty nine are formed by the same connective /-ləj/ which is added between sòmni “twenty” and the basic numerals from one to nine. Here /ə́n-/ of ə́nkʰə́t, ə́nni and ə́ntʰùm are also deleted. In Aimol /ré/ means hundred and /lisiŋ/ means thousand. There is no native term for lakh and crore. /lak/ means lakh and /koror/ means crore. In the ancient time crore is pronounced as /koti/. But the present generation did not use anymore. The symbol / v́ / indicate the low tone, / v̀ / the high tone and level tone is left unmarked.",""
"3","akeu1235-1","Akeu, Myanmar, China, Thailand","akeu1235","Akeu","aeu","Eurasia",22.1959,101.0823,"Sino-Tibetan","Akeu.htm","Dr. Tuula Kosonen, SIL International, November 12, 2015.","decimal","","Akeu has a decimal system similar to that of the Phana' of Laos and Akha of Thailand.",""
"4","akha1245-1","Akha, Myanmar, China, Thailand","akha1245","Akha","ahk","Eurasia",21.2309,100.964,"Sino-Tibetan","Akha.htm","Mr. Jacob Terrell, Department of Linguistics, University of Hawaii, Manoa, USA. April 1, 2012.","decimal","","Akha has a decimal system similar to that of Hani. The creaky voice is lost on numerals 1 and 2 when it is used with classifiers tì ɣà ‘one person’, nyì ɣà ‘two people’. The tone on numeral 3 changes from low to high when used in the ten base system, sm̀ tsé ‘thirty’ not *sḿ tsé. Also, the tone on 3 is high when it precedes a classifier with a low tone, but low then the following classifier has a mid or high tone. Akha is spoken in Burma, China, Lao, Thailand, and Vietnam, and terms for numerals such as 1,000, 10,000, 100,000 etc. have been borrowed from the respective dominant languages in these communities. However, there is an additional term tã̀ found in religious texts. The exact amount of this number is not agreed on; some say it is 1,000, others 10,000, 100,000, 1,000,000 or 10,000,000. In sum, this number and those above 999 are not understood well.",""
"5","amdo1237-1","Amdo Tibetan, China","amdo1237","Amdo Tibetan","adx","Eurasia",34.5177,100.485,"Sino-Tibetan","Amdo-Tibetan.htm","Mr. Jeff Green, SIL International, May 3, 2008.","decimal","","Amdo Tibetan has a decimal system. The above Amdo Tibetan data was taken from ''Farmer dialect'' (农区话) from Tongren County (同仁县). Linguists divide Amdo up differently, but one basic division is between ''Nomad'' dialects and ''Farmer'' dialects.",""
"6","amdo1237-2","Amdo Tibetan, China","amdo1237","Amdo Tibetan","adx","Eurasia",34.5177,100.485,"Sino-Tibetan","Amdo-Tibetan.htm","Prof. Sun Hongkai, Centre of Minority Languages, Chinese Academy of Sciences, Beijing, China, October 3, 1999.","decimal","","Amdo Tibetan has a decimal system. The above data was taken from ''Nomad'' dialect (牧区话) from Zeku dialect (泽库方言). Amdo Tibetan is an atonal Tibeto-Burman language.",""
"7","amri1238-1","Amri Karbi, Assam, India","amri1238","Amri Karbi","ajz","Eurasia",26.024,91.482,"Sino-Tibetan","Amri_Karbi.htm","Dr. Monali Longmailai, Assistant Professor, Centre for Endangered Languages, Tezpur University, India, with native speaker Mr. Sarthe Teron Milik, July 30, 2019.","decimal","","Amri variety of Karbi follows decimal counting system. There is no numeral classifier. One of the exceptional features in the numerals is the hexanary counting for ‘7’, i.e. tʰɹɔ̀k-sɪ̀ ‘six and one’. Besides the additive counting, Amri Karbi, according to the informant Sarthe Teron Milik, uses subtraction for 8 and 9 as in nɪ̄ɾkèp ‘2 less of 10’ and sɪ̄ɾkèp ‘1 less of 10’. kèp is used for counting 30’s to 90’s while kɾē for 11 to 19 and ɪ̄nkɔɪ̄ɾā for 21 to 29. For bigger numerals, pʰāɾɔ̄ is used for counting in 100’s and sʊ̄ɾɪ̄ for 1000’s. Beyond sʊ̄ɾɪ̄, they use loan words ‘lakh’ from Indo-Aryan languages. The numerals mostly carry low tone.",""
"8","anal1239-1","Anal, India, Myanmar","anal1239","Anal","anm","Eurasia",24.0506,94.2806,"Sino-Tibetan","Anal.htm","Mr. Surjit Angom, PhD Student, Department of Linguistics, Manipur University, Imphal, Manipur, India, August 22, 2018.","decimal","","Anal has a decimal system. There are two forms of higher multiplicative compound numerals in 'one hundred', 'two hundred' and 'three hundred' only but other numerals are not maintained. There are two words for thousand ː 'lisiŋ' and 'lakʰe'.",""
"9","anal1239-2","Anal, India, Myanmar","anal1239","Anal","anm","Eurasia",24.0506,94.2806,"Sino-Tibetan","Anal.htm","Prof. Suhnu Ram Sharma, Deccan College Post-Graduate and Research Institute, Pune, India, January, 1993.","decimal","","Anal has a decimal system.",""
"10","anga1288-1","Angami Naga, India","anga1288","Angami Naga","njm","Eurasia",25.6841,93.8668,"Sino-Tibetan","Angamii-Naga.htm","Prof. Suhnu Ram Sharma, Deccan College Post-Graduate and Research Institute, Pune, India, January 7, 1993.","decimal","","Angami Naga has a decimal system.",""
"11","anuu1243-1","Anu, Myanmar","anuu1243","Anu",NA,"Eurasia",NA,NA,"Sino-Tibetan","Anu.htm","Mr. Aung Khine through Mr. & Mrs. Nathan & Carey Statezni. December 19, 2008.",NA,"","Anu is closely related to Hkongso and somewhat closely related to Bangladesh Mru / Mro / Launghu. This language is spoken at Paletwa Township, Southern Chin State, Myanmar. There is an option for 21 which can be expressed by 'kə.rui.ŋkom.mi.lɑuʔ'. 31 is 'ŋkom.kɔt.mi.lauʔ' or 'ŋkom.kɔt.kaiʔ.lauʔ'. 41 is expressed by 'liu.kɔt.ŋɑu.kɔt.mi.lɑuʔ'. It includes both the words for 40 and for 50. 241 is expressed by 'pre.sʰum.r̥um.sʰum.liu.kɔt.ŋɑu.kɔt.mi.lauʔ' or 'pre.sʰum.r̥um.sʰum.kɑiʔ. liu.kɔt.ŋɑu.kɔt.kɔt.mi.lauʔ'.",""
"12","aona1235-1","Ao Naga, India","aona1235","Ao Naga","njo","Eurasia",26.3241,94.3824,"Sino-Tibetan","Naga-Ao.htm","Miss Imlienla Imchen, researcher scholar, Department of Linguistics, North-Eastern Hill University, Shilong, India. May 31, 2013, June 11, 2013.","decimal","","Ao Naga has a decimal system. The above data is taken from Chuling dialect of Ao Naga.",""
"13","aona1235-2","Ao Naga, India","aona1235","Ao Naga","njo","Eurasia",26.3241,94.3824,"Sino-Tibetan","Naga-Ao.htm","Dr. Temsu. Temsunungsang, The English and Foreign Languages University, Shillong, India. October 8, 2011.","decimal","","Ao Naga has a decimal system. On the above table, the first set of numerals are from Ao Mongsen Naga, the second from Chungli (Standard) Naga. Note that the symbol [ɰ] as in number four 'pə̀zɰ̄' is a velar approximant.",""
"14","apat1240-1","Apatani, India","apat1240","Apatani","apt","Eurasia",27.1933,93.7284,"Sino-Tibetan","Apatani.htm","Mr. Nending Ommo, Assistant Professor and PhD scholar, Rang-Frah Government College, Arunachal Pradesh, India, September 28, 2009, February 24, 2013.",NA,"","Apatani is rich in classifier so the counting system largely dependent on the object both in cardinal and ordinal systems. However, here I have just given the basic cardinal numbers. The formations for the tensː 10, 20, 30, 40, 50, 60, 70, 80 and 90 in Apatani are different.",""
