"","ID","Name","Glottocode","Glottolog_Name","ISO639P3code","Macroarea","Latitude","Longitude","Family","SourceFile","Contributor","Base.Chan","Base.Enock","Comment.Chan","Comment.Enock"
"1","abar1238-1","Mungbam (Abar), Cameroon","abar1238","Mungbam","mij","Africa",6.5805,10.2267,"Atlantic-Congo","Mungbam.htm","Mr. Jesse Lovegren, Graduate Student. Dept. of Linguistics, State University of New York at Buffalo, USA. April 20, 2011.","decimal","","There are five dialects in the Mugnbam language: Munken, Abar, Biya, Missong and Ngun, the above numeral systems are from Abar and Missong dialects. Both Abar and Missong dialects has a decimal system. The first set is from Abar and the second from Missong. Notes: 1.- indicates that a noun class agreement prefix is attached 2. kə̄/kə́ and mɛ̀ means 'and/with' 3 -gbe̋ means 'rope' 4. ūwə́n ùnè means 'ornaments of a man'",""
"2","abar1238-2","Mungbam (Missong), Cameroon","abar1238","Mungbam","mij","Africa",6.5805,10.2267,"Atlantic-Congo","Mungbam.htm","Mr. Jesse Lovegren, Graduate Student. Dept. of Linguistics, State University of New York at Buffalo, USA. April 20, 2011.","decimal","","There are five dialects in the Mugnbam language: Munken, Abar, Biya, Missong and Ngun, the above numeral systems are from Abar and Missong dialects. Both Abar and Missong dialects has a decimal system. The first set is from Abar and the second from Missong. Notes: 1.- indicates that a noun class agreement prefix is attached 2. kə̄/kə́ and mɛ̀ means 'and/with' 3 -gbe̋ means 'rope' 4. ūwə́n ùnè means 'ornaments of a man'",""
"3","abar1238-3","Mungbam (Munken), Cameroon","abar1238","Mungbam","mij","Africa",6.5805,10.2267,"Atlantic-Congo","Mungbam.htm","Mr. Jesse Lovegren, Graduate Student. Dept. of Linguistics, State University of New York at Buffalo, USA. April 20, 2011.","decimal","","There are five dialects in the Mungbam language: Munken, Abar, Biya, Missong and Ngun, the above numeral systems are from Munken, Biya and Ngun dialects. Both these three dialects has a decimal system. The first set is from Munken, and the second from Biya, and the third from Ngun. Notes: 1.- indicates that a noun class agreement prefix is attached 2. kə̄/kə́ and mɛ̀ means 'and/with' 3 -gbe̋ means 'rope' 4. ūwə́n ùnè means 'ornaments of a man'",""
"4","abar1238-4","Mungbam (Biya), Cameroon","abar1238","Mungbam","mij","Africa",6.5805,10.2267,"Atlantic-Congo","Mungbam.htm","Mr. Jesse Lovegren, Graduate Student. Dept. of Linguistics, State University of New York at Buffalo, USA. April 20, 2011.","decimal","","There are five dialects in the Mungbam language: Munken, Abar, Biya, Missong and Ngun, the above numeral systems are from Munken, Biya and Ngun dialects. Both these three dialects has a decimal system. The first set is from Munken, and the second from Biya, and the third from Ngun. Notes: 1.- indicates that a noun class agreement prefix is attached 2. kə̄/kə́ and mɛ̀ means 'and/with' 3 -gbe̋ means 'rope' 4. ūwə́n ùnè means 'ornaments of a man'",""
"5","abar1238-5","Mungbam (Ngun), Cameroon","abar1238","Mungbam","mij","Africa",6.5805,10.2267,"Atlantic-Congo","Mungbam.htm","Mr. Jesse Lovegren, Graduate Student. Dept. of Linguistics, State University of New York at Buffalo, USA. April 20, 2011.","decimal","","There are five dialects in the Mungbam language: Munken, Abar, Biya, Missong and Ngun, the above numeral systems are from Munken, Biya and Ngun dialects. Both these three dialects has a decimal system. The first set is from Munken, and the second from Biya, and the third from Ngun. Notes: 1.- indicates that a noun class agreement prefix is attached 2. kə̄/kə́ and mɛ̀ means 'and/with' 3 -gbe̋ means 'rope' 4. ūwə́n ùnè means 'ornaments of a man'",""
"6","abee1242-1","Abé (Abbey), Côte d'Ivoire","abee1242","Abé","aba","Africa",5.59682,-4.38497,"Atlantic-Congo","Abe.htm","Mr. Steven Craig, Summer Institute of Linguistics, Côte d'Ivoire, September 18, 1998.","decimal","","Abe has a decimal system of counting. y = IPA [j].",""
"7","abid1235-1","Abidji, Côte d'Ivoire","abid1235","Abidji","abi","Africa",5.65656,-4.58421,"Atlantic-Congo","Abidji.htm","Miss. Chantal Tresbarats and Miss. Vick Renée, SIL International, Côte d'Ivoire, October 31, 2008.","decimal","","Abidji has a decimal system. The formation of 80 and 90 is different from that of other tens because the latter use loan words. Expressions similar to 80 an 90 exist for 20 to 70 but are not much in use, while there are no loan words for 80 and 90.",""
"8","abro1238-1","Abron, Ghana, Côte d'Ivoire","abro1238","Abron","abr","Africa",7.72094,-2.50289,"Atlantic-Congo","Abron.htm","Dr. Andy Ring and Mr. Sammy Ntumy, GILLBT (The Ghana Institute of Linguistics, Literacy and Bible Translation), Ghana, May 15, 1999.","decimal","","Abron has a decimal system of similar to that of Akan.",""
"9","abua1244-1","Abuan, Nigeria","abua1244","Abua","abn","Africa",4.83057,6.61492,"Atlantic-Congo","Abua.htm","Rev. Ian Gardner, Nigeria Bible Translation Trust, Nigeria, February 25, 2009. December 19, 2016.",NA,"","Abuan has an old counting system which was unable to handle large numbers- 400 being the highest. The number one always behaves like a descriptive adjective; the numerals 2-9 are indeclinable. Any of these might be added to the numbers 20, 30, 40 and 60, with e.g. 79 becoming 60 +10 + 9. 80 and numbers up to 400 and beyond all involved both multiplication and addition always using 20 or 400 as the basic e. g. 119 was 5 times 20 + 10+ 9; 519 was 400 + 5 times 20 plus ten plus 9. The system is now in the process of being changed to multiples of 10, 100, 1000 which of course suits the modern world much better. The notation will need to be reinterpreted first into the Abuan orthography, then into IPA. The symbol [ before b, d, a, e, i, o, u means that each of these letters has a subscript dot in the orthography; this subscript dot is an implosive marker in the case of the consonants and a concord marker in the case of the vowels. A dotted vowel in the orthography indicates that all preceding vowels in the word are also dotted (lax vowels). Absence of subscript dot under a vowel means that that vowel is a tense vowel. We have 10 vowels in Abuan and two kinds of b and d, implosive and explosive.",""
"10","abur1243-1","Abouré (Abure), Côte d'Ivoire","abur1243","Abure","abu","Africa",5.21534,-3.64123,"Atlantic-Congo","Abure.htm","Pastor Ayité Epse Beugré Ably Pierrette, ABCI (Alliance Biblique de Côte d’Ivoire), Ivory Coast, September 16, 2014.","decimal","","Abouré (Abure) has a decimal system of counting similar to that of Anyin.",""
