,ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,SourceFile,Contributor,Base.Chan,Base.Mamta,Comment.Chan,Comment.Mamta
1,aheu1239-1,"Aheu (Thavung), Thailand, Laos",aheu1239,Thavung,thm,Eurasia,17.7655,104.229,Austroasiatic,Aheu-Thavung.htm,"Dr. Michael Ferlus, CNRS (Centre Nationale de Recherche Scientifique), Paris, France, July 2, 1993",NA,decimal,Thavung borrowed Lao numerals after ten.,
2,alak1253-1,"Alak, Xelong province, Laos",alak1253,Alak,alk,Eurasia,15.5565,106.597,Austroasiatic,Alak.htm,"Mr. Ryan Gehrmann, Graduate Student, Linguistics, Department, Payap University, Thailand, February 23, 2021. Sources: Luangthongkum, Theraphan. 2001. ภาษาของนานาชนเผ่าในแขวงเชกองลาวใต้. Phasa khong nana chon phaw nai khweng se kong lao tai. [Languages of the tribes in Xekong province southern Laos]. Bangkok: The Thailand Research Fund. Huffman, Franklin. 1971. Vocabulary lists for Loven, Souei and Alak. In Paul Sidwell (ed.), Huffman Papers. Online: huffman (Accessed 23 February, 2021).",decimal,NA,Alak has a decimal numeral system.,Data till numeral 10 is available
3,arem1240-1,"Arem, Vietnam",arem1240,Arem,aem,Eurasia,17.7672,105.928,Austroasiatic,Arem.htm,"Dr. Michael Ferlus, CNRS (Centre Nationale de Recherche Scientifique), Paris, France, April 6, 1999",NA,decimal,"Arem has breathy vowels, Arem numerals are different from other Viet-Muong languages.",
4,asur1254-1,"Asuri, Jharkhand State, India",asur1254,Asuri,asr,Eurasia,21.5721,83.4562,Austroasiatic,Asuri.htm,"Mr. Theodor Gipson Benjamin, India Bible Society, India, August 22, 2019.",vigesimal,parallel,Asuri is an endangered Munda language spoken in Jharkhand State. Asuri has a vigesimal system and only preserved traditional Munda numerals from one to three.,"Huge lexical borrowing from IA, therefore two systems co-exist, Decimal (borrowed) and vigesimal (traditional)"
4,bahn1262-1,"Bahnar, Vietnam",bahn1262,Bahnar,bdq,Eurasia,14.0476,108.471,Austroasiatic,Bahnar.htm,"Mr & Mrs John & Elizabeth Banker, Summer Institute of Linguistics, Thailand, October 5, 1993.",decimal,decimal,Bahnar has a decimal numeral system. Thousand is a loanword from Chamic language.,
4,bate1262-1,"Batek, Malaysia",bate1262,Batek,btq,Eurasia,4.8223,102.382,Austroasiatic,Batek.htm,"Prof. Kirk Endicott, Dartmouth College, Hanover, New Hampshire, USA, September 23, 1993.",NA,decimal,"Batek use Malay numeral system with adding glottal stops to the ends of the numbers, Geoffrey Benjamin had obtained the term /ney/ for "" one "" when he visited the Batek Deq in 1969, when Kirk Endicott visited the Batek Nong in 1972, they were still using the term /nay/ for "" one"" and used Malay numbers for all the rest.",
4,besi1244-1,"Mah Meri, Malaya Peninsula",besi1244,Besisi,mhe,Eurasia,2.717,101.676,Austroasiatic,MahMeri.htm,"Dr. Nicole Kruspe, Department of Linguistics, University of Melbourne. Australia, August 11, 2006",NA,decimal,"Meh Mari still has Mon-Khmer numbers one to three, after three, now they mixed Malay numerals with indigenous terms.",
4,bhum1234-1,"Mundari (Bhumij), India",bhum1234,Bhumij,NA,Eurasia,22.552,85.804,Austroasiatic,Mundari.htm,"Rev. Noel Kotian, Bible Society of India, India, April 16, 1995.",vigesimal,decimal,Mundari has a vigesimal numeral system. The second set is taken from Bhumij dialect from N. Ramaswami's Bhumij Grammar (CIIL Grammar Series-18). The Bhumij dialect has used Indo-Aryan numerals after six. The words for 100 Shaye [ʃaye] and so are loanwords from different Indic languages.,"Traditional system of Mundari is based on vigesimal (refer SAND data), here the system is borrowed from IA which is decimal"
4,bijo1238-1,"Bijori, Jharkhand State, India",bijo1238,Bijori,bix,Eurasia,22.5904,84.1907,Austroasiatic,Bijori.htm,"Mr. Theodor Gipson Benjamin, India Bible Society, India, August 21, 2019.",vigesimal,decimal,Bijori or Bijola is an endangered Munda language spoken in Jharkhand State. Bijori has a vigesimal system and only preserved traditional Munda numerals from one to three.,Bororowed from IA.Traditional system was vigesimal.
4,birh1242-1,"Birhor, Jharkhand State, India",birh1242,Birhor,biy,Eurasia,23.585,85.5611,Austroasiatic,Birhor.htm,"Mr. Theodor Gipson Benjamin, India Bible Society, India, August 22, 2019.",vigesimal,decimal,"Birhor is an endangered Munda language spoken in Jharkhand State, East India with about 2,000 speakers based on Ethnologue 19th version. Birhor has a vigesimal system and only preserved traditional Munda numerals from one to three.",Bororowed from IA.Traditional system was vigesimal.
4,birh1242-2,"Birhor, Jharkhand State, India",birh1242,Birhor,biy,Eurasia,23.585,85.5611,Austroasiatic,Birhor.htm,"Mr. Farooq Ahmad Mir and Prof. S.Imtiaz Hasnain (Professor of Sociolinguistics, AMU-Aligarh), SPPEL (Scheme for the Protection and Preservation of Endangered Languages), CIIL, Mysore, India, March 6, 2017.",vigesimal,vigesimal,"Birhor is an endangered Munda language spoken in Jharkhand State, East India with about 2,000 speakers based on Ethnologue 19th version. Birhor has a vigesimal system and only preserved traditional Munda numerals from one to two, some missing terms needed.",Mixture of traditional and borrowed system
