ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
kumi1248-5-1-1,,kumi1248-5,1,ʔəxink,ʔəxink,[],(counting form),['chan2019'],,False,False,,1
kumi1248-5-2-1,,kumi1248-5,2,xəwak,xəwak,[],(‘two, be two’),['chan2019'],,False,False,,1
kumi1248-5-3-1,,kumi1248-5,3,xəmuk,xəmuk,[],(‘three, be three’),['chan2019'],,False,False,,1
kumi1248-5-4-1,,kumi1248-5,4,čəpap,čəpap,[],(‘four, be four’),['chan2019'],,False,False,,1
kumi1248-5-5-1,,kumi1248-5,5,sa:rap,sa:rap,[],(‘five, be five’),['chan2019'],,False,False,,1
kumi1248-5-6-1,,kumi1248-5,6,xəmxu:k,xəmxu:k,[],(‘six, be six’),['chan2019'],,False,False,,1
kumi1248-5-7-1,,kumi1248-5,7,pəxkay,pəxkay,[],(‘seven, be seven’),['chan2019'],,False,False,,1
kumi1248-5-8-1,,kumi1248-5,8,čəpxu:k,čəpxu:k,[],(‘eight, be eight’),['chan2019'],,False,False,,1
kumi1248-5-9-1,,kumi1248-5,9,nʸəmxəmuːk,nʸəmxəmuːk,[],(‘ninin, be nince’),['chan2019'],,False,False,,1
kumi1248-5-10-1,,kumi1248-5,10,ṣaxuk,ṣaxuk,[],,['chan2019'],,False,False,,1
kumi1248-5-10-2,,kumi1248-5,10,ṣa:xuk,ṣa:xuk,[],,['chan2019'],,False,False,,1
kumi1248-5-10-3,,kumi1248-5,10,saƚ xəwak,saƚ xəwak,[],(‘be ten’),['chan2019'],,False,False,,1
kumi1248-5-100-1,,kumi1248-5,100,sye:nt,sye:nt,[],(Mesa Grande dialect (Spanish),['chan2019'],,False,False,,1
